id,function,sector
fabrication:electrical sheet:Mechanical equipment,fab electrical sheet,Mechanical equipment
fabrication:heavy sections:Mechanical equipment,fab heavy sections,Mechanical equipment
fabrication:hot rolled bar:Mechanical equipment,fab hot rolled bar,Mechanical equipment
fabrication:hot rolled coil:Mechanical equipment,fab hot rolled coil,Mechanical equipment
fabrication:light sections:Mechanical equipment,fab light sections,Mechanical equipment
fabrication:plate:Mechanical equipment,fab plate,Mechanical equipment
fabrication:rail:Mechanical equipment,fab rail,Mechanical equipment
fabrication:reinforcing bar:Mechanical equipment,fab reinforcing bar,Mechanical equipment
fabrication:seamless tube:Mechanical equipment,fab seamless tube,Mechanical equipment
fabrication:welded tube:Mechanical equipment,fab welded tube,Mechanical equipment
fabrication:wire rod:Mechanical equipment,fab wire rod,Mechanical equipment
manufacturing:Electrical equipment,manufacturing,Electrical equipment
scrap:Electrical equipment,scrap,scrap
fabrication:CRC coated:Electrical equipment,fab CRC coated,Electrical equipment
fabrication:CRC galvanised:Electrical equipment,fab CRC galvanised,Electrical equipment
fabrication:CRC tinned:Electrical equipment,fab CRC tinned,Electrical equipment
fabrication:HR narrow strip:Electrical equipment,fab HR narrow strip,Electrical equipment
fabrication:HRC galvanised:Electrical equipment,fab HRC galvanised,Electrical equipment
fabrication:cast iron products:Electrical equipment,fab cast iron products,Electrical equipment
fabrication:cast steel products:Electrical equipment,fab cast steel products,Electrical equipment
fabrication:cold rolled coil:Electrical equipment,fab cold rolled coil,Electrical equipment
fabrication:electrical sheet:Electrical equipment,fab electrical sheet,Electrical equipment
fabrication:heavy sections:Electrical equipment,fab heavy sections,Electrical equipment
fabrication:hot rolled bar:Electrical equipment,fab hot rolled bar,Electrical equipment
fabrication:hot rolled coil:Electrical equipment,fab hot rolled coil,Electrical equipment
fabrication:light sections:Electrical equipment,fab light sections,Electrical equipment
fabrication:plate:Electrical equipment,fab plate,Electrical equipment
fabrication:rail:Electrical equipment,fab rail,Electrical equipment
fabrication:reinforcing bar:Electrical equipment,fab reinforcing bar,Electrical equipment
fabrication:seamless tube:Electrical equipment,fab seamless tube,Electrical equipment
fabrication:welded tube:Electrical equipment,fab welded tube,Electrical equipment
fabrication:wire rod:Electrical equipment,fab wire rod,Electrical equipment
manufacturing:Metal goods,manufacturing,Metal goods
scrap:Metal goods,scrap,scrap
fabrication:CRC coated:Metal goods,fab CRC coated,Metal goods
fabrication:CRC galvanised:Metal goods,fab CRC galvanised,Metal goods
fabrication:CRC tinned:Metal goods,fab CRC tinned,Metal goods
fabrication:HR narrow strip:Metal goods,fab HR narrow strip,Metal goods
fabrication:HRC galvanised:Metal goods,fab HRC galvanised,Metal goods
fabrication:cast iron products:Metal goods,fab cast iron products,Metal goods
fabrication:cast steel products:Metal goods,fab cast steel products,Metal goods
fabrication:cold rolled coil:Metal goods,fab cold rolled coil,Metal goods
fabrication:electrical sheet:Metal goods,fab electrical sheet,Metal goods
fabrication:heavy sections:Metal goods,fab heavy sections,Metal goods
fabrication:hot rolled bar:Metal goods,fab hot rolled bar,Metal goods
fabrication:hot rolled coil:Metal goods,fab hot rolled coil,Metal goods
fabrication:light sections:Metal goods,fab light sections,Metal goods
fabrication:plate:Metal goods,fab plate,Metal goods
fabrication:rail:Metal goods,fab rail,Metal goods
fabrication:reinforcing bar:Metal goods,fab reinforcing bar,Metal goods
